"x","y","time","time.index"
0.541536207776517,0.00143374036997557,0.025,1
0.390886486973614,0.0916132202837616,0.025,1
0.343755908543244,0.332748971879482,0.025,1
0.348813351243734,0.328588956501335,0.025,1
0.574503468116745,0.107857671333477,0.025,1
0.112064006738365,0.193256192840636,0.025,1
0.42294493294321,0.433660696493462,0.025,1
0.333404601085931,0.082450762623921,0.025,1
0.309992387425154,0.190874519990757,0.025,1
0.501562485471368,0.0983178911264986,0.025,1
0.415914964396507,0.0991001962684095,0.025,1
0.361690732184798,0.137583441333845,0.025,1
0.435875222319737,0.174502953886986,0.025,1
0.477504464332014,0.215755998156965,0.025,1
0.193430070998147,0.303001890191808,0.025,1
0.546926903538406,0.261748825898394,0.025,1
0.366255735512823,0.242482471046969,0.025,1
0.443939953809604,0.194850413594395,0.025,1
0.587941510602832,0.440348956733942,0.025,1
0.309018220752478,0.284847190137953,0.075,2
0.313571118051186,0.312685647979379,0.075,2
0.568062081700191,0.160758801735938,0.075,2
0.428231827449054,0.28111815568991,0.075,2
0.394891181495041,0.0822786525823176,0.075,2
0.314772319281474,0.196584964636713,0.075,2
0.476887971162796,0.157912452938035,0.075,2
0.382686798460782,0.0397259157616645,0.075,2
0.513665698934346,0.116267856443301,0.075,2
0.578701578080654,0.346943795448169,0.075,2
0.36249723774381,0.303404777077958,0.075,2
0.228851882740855,0.25760721298866,0.075,2
0.351526329061016,0.282145467353985,0.075,2
0.548411504365504,0.0741926613263786,0.075,2
0.410267751896754,0.205168853048235,0.075,2
0.243039439897984,0.210323188919574,0.075,2
0.371135143330321,0.137065491639078,0.075,2
0.471730076009408,0.0421022216323763,0.075,2
0.433546139393002,0.244355789385736,0.075,2
0.512309252284467,0.00852778390981257,0.075,2
0.482755806529894,0.297331602079794,0.125,3
0.351359192049131,0.153187818592414,0.125,3
0.0839096936397254,0.372434911318123,0.125,3
0.754334744531661,0.725552101852372,0.125,3
0.379247140372172,0.00496715842746198,0.125,3
0.554805900901556,0.199662174098194,0.125,3
0.445911980932578,0.00762038445100188,0.125,3
0.333160580368713,0.192345195217058,0.125,3
0.443910200614482,0.236235829768702,0.125,3
0.256213280605152,0.30794420093298,0.125,3
0.393996887840331,0.110183550277725,0.125,3
0.477302477229387,0.0910205070395023,0.125,3
0.538264048984274,0.105138233629987,0.125,3
0.706320957513526,0.247288733022287,0.125,3
0.418099040631205,0.104704480152577,0.125,3
0.524443062255159,0.28617147821933,0.125,3
0.537358808098361,0.229353660484776,0.125,3
0.321319348644465,0.27359690819867,0.125,3
0.438838511705399,0.160558232106268,0.125,3
0.778659874806181,0.310936474474147,0.125,3
0.218666793778539,0.25693318224512,0.125,3
0.129633254604414,0.169713740237057,0.125,3
0.460949399974197,0.274527095258236,0.125,3
0.401259244885296,0.268952898448333,0.125,3
0.312022867612541,0.385943248867989,0.125,3
0.813491302076727,0.0429067185614258,0.125,3
0.565378053113818,0.0843374086543918,0.125,3
0.387613187311217,0.344652181025594,0.125,3
0.607999331085011,0.601030840771273,0.125,3
0.247621984919533,0.331549674971029,0.125,3
0.334027475211769,0.134784313151613,0.125,3
0.925693485885859,0.549212452955544,0.175,4
0.0748176493216306,0.265847761183977,0.175,4
